STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,UNIT_MEASURE_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SH_STA_SUIC_FE_P5,F,2019,6.013759733725365,Euro area,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SH_STA_SUIC_FE_P5,F,2011,0.25,West Bank and Gaza,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SH_STA_SUIC_FE_P5,F,2011,4.06,"Yemen, Rep.","Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_STA_SUIC_FE_P5,F,2011,2.03,Zambia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_STA_SUIC_FE_P5,F,2011,10.61,Zimbabwe,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,4.051822459169679,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,2.478602991712951,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,1.7609074882509317,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,5.6816951016214,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,6.950304468345635,East Asia & Pacific,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_STA_SUIC_FE_P5,F,2014,2.28,Zambia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_STA_SUIC_FE_P5,F,2014,9.4,Zimbabwe,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,3.932584587514584,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,2.386664183261096,Western & Central Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,1.7022113481365715,Arab World,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,5.228298471302661,Central Europe and the Baltics,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,6.23333050975796,East Asia & Pacific,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SH_STA_SUIC_FE_P5,F,2015,6.37058317957344,Euro area,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,1.87,Zambia,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_STA_SUIC_FE_P5,F,2012,9.97,Zimbabwe,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_STA_SUIC_FE_P5,F,2013,3.976138592156302,Eastern & Southern Africa,"Suicide mortality rate, female (per 100,000 female population)",Female,All age ranges or no breakdown by age,Per 100 000 women
